Site_Year,Area_Type,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18
Discovery Wall_2017,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2018,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2019,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2020,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2021,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2007,Non-core,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2008,Non-core,0,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2009,Non-core,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2010,Non-core,1,0,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2011,Non-core,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2012,Non-core,1,1,1,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2013,Non-core,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2014,Non-core,0,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2015,Non-core,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2016,Non-core,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2017,Non-core,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2018,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2019,Non-core,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2020,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2021,Non-core,0,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2007,Core,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2008,Core,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
Egg_2009,Core,1,0,0,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2010,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2011,Core,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2012,Core,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2013,Core,0,0,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2014,Core,1,0,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2015,Core,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2016,Core,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2017,Core,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA
Egg_2018,Core,0,0,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
Egg_2019,Core,0,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
Egg_2020,Core,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2021,Core,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
